inventory_id,prod_id,qty,color,size,weight,retail,cost_price
261,70,0,blue,small,0,0,0
307,81,0,"",1XL/2XL,1,0,0
257,69,0,"",Large,1,0,0
281,74,0,Oatmeal,Large,1,0,0
296,78,0,Blue,Large,1,0,0
328,85,0,Pink,2XL,0,0,0
248,67,0,"",large,0,0,0
329,85,0,Green,XL,0,0,0
279,74,0,Oatmeal,Small,0,0,0
262,70,0,blue,medium,0,0,0
326,85,0,Pink,XL,0,0,0
292,77,0,"",Medium,0,0,0
240,66,0,Coral,Small,0,0,0
283,74,0,Slate,Medium,1,0,0
300,79,0,"",XL,0,0,0
21217,2934,0,pink,large,0,0,0
369,93,0,Peach,Medium,0,0,0
401,100,0,"",Medium,0,0,0
363,91,0,"",Medium,0,0,0
395,98,0,Grey,Small,0,0,0
404,101,0,"",Medium,0,0,0
428,108,0,"",Medium,0,0,0
378,94,0,"",Medium,1,0,0
374,93,0,Yellow,Small,0,0,0
429,108,0,"",Large,0,0,0
356,89,0,Blue,XL,0,0,0
417,104,0,"",Large,0,0,0
349,88,0,Ivory,Large,0,0,0
343,88,0,Peach,Large,0,0,0
375,93,0,Yellow,Medium,0,0,0
367,92,0,"",Large,1,0,0
371,93,0,Pink,Small,0,0,0
377,94,0,"",Small,0,0,0
350,88,0,Ivory,XL,0,0,1.5
434,96,0,Mint,Medium,0,0,0
425,106,0,"",medium,1,0,0
407,102,0,"",Medium,0,0,0
402,100,0,"",Large,1,0,0
351,88,0,Ivory,1XL,0,0,1.5
418,105,0,green,small,0,0,0
352,88,0,Ivory,2XL,0,0,1.5
419,105,0,green,medium,1,0,0
346,88,0,Peach,2XL,0,0,1.5
341,88,0,Peach,Small,0,0,0
342,88,0,Peach,Medium,0,0,0
364,91,0,"",Large,0,0,0
408,102,0,"",Large,1,0,0
353,89,0,Pink,XL,0,0,0
416,104,0,"",Medium,0,0,0
358,89,0,Blue,2XL,0,0,0
360,90,0,"",Medium,0,0,0
354,89,0,Pink,1XL,0,0,0
430,96,0,Orange,Small,0,0,0
382,95,0,"",Large,1,0,0
393,98,0,White,Medium,0,0,0
421,105,0,blue,small,0,0,0
410,103,0,peach,medium,1,0,0
394,98,0,White,Large,1,0,0
355,89,0,Pink,2XL,0,0,0
440,109,0,"",Medium,0,0,0
20448,2843,0,"",small,0,0,0
373,93,0,Pink,Large,1,0,0
431,96,0,Orange,Medium,0,0,0
422,105,0,blue,medium,1,0,0
432,96,0,Orange,Large,0,0,0
433,96,0,Mint,Small,0,0,0
403,101,0,"",Small,0,0,0
357,89,0,Blue,1XL,0,0,0
372,93,0,Pink,Medium,0,0,0
435,96,0,Mint,Large,0,0,0
376,93,0,Yellow,Large,1,0,0
381,95,0,"",Medium,1,0,0
